Date,Close
1989-01,297.4700012207031
1989-02,288.8599853515625
1989-03,294.8699951171875
1989-04,309.6400146484375
1989-05,320.5199890136719
1989-06,317.9800109863281
1989-07,346.0799865722656
1989-08,351.45001220703125
1989-09,349.1499938964844
1989-10,340.3599853515625
1989-11,345.989990234375
1989-12,353.3999938964844
1990-01,329.0799865722656
1990-02,331.8900146484375
1990-03,339.94000244140625
1990-04,330.79998779296875
1990-05,361.2300109863281
1990-06,358.0199890136719
1990-07,356.1499938964844
1990-08,322.55999755859375
1990-09,306.04998779296875
1990-10,304.0
1990-11,322.2200012207031
1990-12,330.2200012207031
1991-01,343.92999267578125
1991-02,367.0700073242188
1991-03,375.2200012207031
1991-04,375.3399963378906
1991-05,389.8299865722656
1991-06,371.1600036621094
1991-07,387.80999755859375
1991-08,395.42999267578125
1991-09,387.8599853515625
1991-10,392.45001220703125
1991-11,375.2200012207031
1991-12,417.0899963378906
1992-01,408.7799987792969
1992-02,412.70001220703125
1992-03,403.6900024414063
1992-04,414.95001220703125
1992-05,415.3500061035156
1992-06,408.1400146484375
1992-07,424.2099914550781
1992-08,414.0299987792969
1992-09,417.7999877929688
1992-10,418.67999267578125
1992-11,431.3500061035156
1992-12,435.7099914550781
1993-01,438.7799987792969
1993-02,443.3800048828125
1993-03,451.6700134277344
1993-04,440.1900024414063
1993-05,450.1900024414063
1993-06,450.5299987792969
1993-07,448.1300048828125
1993-08,463.55999755859375
1993-09,458.92999267578125
1993-10,467.8299865722656
1993-11,461.7900085449219
1993-12,466.45001220703125
1994-01,481.6099853515625
1994-02,467.1400146484375
1994-03,445.7699890136719
1994-04,450.9100036621094
1994-05,456.5
1994-06,444.2699890136719
1994-07,458.260009765625
1994-08,475.489990234375
1994-09,462.7099914550781
1994-10,472.3500061035156
1994-11,453.6900024414063
1994-12,459.2699890136719
1995-01,470.4200134277344
1995-02,487.3900146484375
1995-03,500.7099914550781
1995-04,514.7100219726561
1995-05,533.4000244140625
1995-06,544.75
1995-07,562.0599975585939
1995-08,561.8800048828125
1995-09,584.4099731445312
1995-10,581.5
1995-11,605.3699951171875
1995-12,615.9299926757812
1996-01,636.02001953125
1996-02,640.4299926757812
1996-03,645.5
1996-04,654.1699829101562
1996-05,669.1199951171875
1996-06,670.6300048828125
1996-07,639.9500122070312
1996-08,651.989990234375
1996-09,687.3300170898438
1996-10,705.27001953125
1996-11,757.02001953125
1996-12,740.739990234375
1997-01,786.1599731445312
1997-02,790.8200073242188
1997-03,757.1199951171875
1997-04,801.3400268554688
1997-05,848.280029296875
1997-06,885.1400146484375
1997-07,954.3099975585938
1997-08,899.469970703125
1997-09,947.280029296875
1997-10,914.6199951171876
1997-11,955.4000244140624
1997-12,970.4299926757812
1998-01,980.280029296875
1998-02,1049.3399658203123
1998-03,1101.75
1998-04,1111.75
1998-05,1090.8199462890623
1998-06,1133.8399658203125
1998-07,1120.6700439453123
1998-08,957.280029296875
1998-09,1017.010009765625
1998-10,1098.6700439453123
1998-11,1163.6300048828125
1998-12,1229.22998046875
1999-01,1279.6400146484375
1999-02,1238.3299560546875
1999-03,1286.3699951171875
1999-04,1335.1800537109375
1999-05,1301.8399658203125
1999-06,1372.7099609375
1999-07,1328.719970703125
1999-08,1320.4100341796875
1999-09,1282.7099609375
1999-10,1362.9300537109375
1999-11,1388.9100341796875
1999-12,1469.25
2000-01,1394.4599609375
2000-02,1366.4200439453125
2000-03,1498.5799560546875
2000-04,1452.4300537109375
2000-05,1420.5999755859375
2000-06,1454.5999755859375
2000-07,1430.8299560546875
2000-08,1517.6800537109375
2000-09,1436.510009765625
2000-10,1429.4000244140625
2000-11,1314.949951171875
2000-12,1320.280029296875
2001-01,1366.010009765625
2001-02,1239.93994140625
2001-03,1160.3299560546875
2001-04,1249.4599609375
2001-05,1255.8199462890625
2001-06,1224.3800048828125
2001-07,1211.22998046875
2001-08,1133.5799560546875
2001-09,1040.93994140625
2001-10,1059.780029296875
2001-11,1139.449951171875
2001-12,1148.0799560546875
2002-01,1130.199951171875
2002-02,1106.72998046875
2002-03,1147.3900146484375
2002-04,1076.9200439453123
2002-05,1067.1400146484377
2002-06,989.8200073242188
2002-07,911.6199951171876
2002-08,916.0700073242188
2002-09,815.280029296875
2002-10,885.760009765625
2002-11,936.3099975585938
2002-12,879.8200073242188
2003-01,855.7000122070312
2003-02,841.1500244140625
2003-03,848.1799926757812
2003-04,916.9199829101562
2003-05,963.5900268554688
2003-06,974.5
2003-07,990.3099975585938
2003-08,1008.010009765625
2003-09,995.969970703125
2003-10,1050.7099609375
2003-11,1058.199951171875
2003-12,1111.9200439453123
2004-01,1131.1300048828125
