DATE,Consumption,C_Durable Goods,C_Nondurable Goods,C_Services,Investment,I_Business,I_Fixed,Government_spending,GDP,10Y_FFR,Result
1960-07-31,-1.6393391947772171,-2.158991077935489,-1.495962204917137,-0.6170715991422114,-0.7681602295638537,0.0038564751496733296,-1.680293402895347,0.08483634560925524,2.5,0.67,3.0
1961-01-31,-1.3435658020831336,-2.660645209585633,-0.8474186312199378,-0.19231389701017898,0.014820890202749772,0.11104054690144148,-1.1765004324681654,0.145288683206757,-0.7,2.39,3.0
1961-04-30,0.015218149873996481,0.214519938545564,-0.06541516683807304,-0.0260834405200662,1.2611381072885983,0.20069325375095048,0.056731774298244685,0.13162894509058834,1.6,2.29,3.0
1961-10-31,0.07142678115684684,0.3749971134309898,-0.15464849206475384,0.08729383160009514,0.3993825713512843,0.02547718423704409,0.7082249299223918,0.1468798744048301,6.4,1.66,2.0
1962-01-31,0.17750411458203513,0.5372073031639907,0.04075766934532851,-0.0005063779120973394,0.8703124185250892,0.08979596605931056,0.17913356121344046,0.292146453808423,7.6,1.93,3.0
1963-01-31,0.29438941062339,1.4275610112540147,-0.02879766856393552,-0.3154995075427877,0.5759381073640222,0.07597304826234297,-0.1173783794429114,-0.34719968816147456,3.6,0.91,3.0
1963-04-30,-0.5596333766103849,-0.30602093360875005,-0.9911973503710408,-0.22910271567923216,0.3703742640387682,0.0049731539927469525,1.2131626633450316,-0.3849253063368935,3.8,1.07,2.0
1963-07-31,0.2785204656045523,0.5704082191912099,0.2724856215586022,0.03988945262209945,0.4245843839654261,0.044556478913846204,0.25045262412343905,0.2169931507229912,4.8,1.0,3.0
1963-10-31,-0.6217649365765165,-0.8424074096342178,-0.98769124477025,0.11290408187525093,0.3897638598956877,0.022971263753404563,0.7492038367552164,-0.2303560572069891,5.2,0.61,3.0
1964-01-31,0.632768209896626,1.1009858100793786,0.4863001540482714,0.12176664251187368,0.4233254439017588,0.02764881192066979,0.7012537198050218,-0.009755546804878518,6.2,0.69,3.0
1964-04-30,-0.044529951207860505,-0.2361160020628235,0.0899337792705199,0.10043102722010368,-0.2083456484916713,0.00923067584629463,-0.4094618589532959,-0.08224953885160889,6.2,0.76,3.0
1964-07-31,0.7413001655576245,0.8922859659128591,1.0623719056624803,0.07990382745908924,0.18892506156863628,0.027930242097210418,0.08004692712952495,-0.5010572466553874,5.5,0.77,2.0
1964-10-31,-0.2443190220105845,-0.4835699514184248,-0.1946438113207469,0.0037501021985368727,0.1497005190978887,0.022601412122752185,0.12929230844960035,-0.6046273254931179,5.2,0.83,2.0
1965-01-31,-0.2384492811826293,-0.4152032879698591,-0.19974203902712664,0.01440151802739498,1.9711751987252784,0.14046244377807446,1.334985124923955,-0.03645203265970638,5.5,0.29,2.0
1965-04-30,0.7352362050075137,1.8431027432039064,0.21080632177640046,-0.003021604499741465,-0.01517269623998764,-0.004556660801863499,0.6446282567890045,0.05984288731723554,5.7,0.11,3.0
1965-10-31,1.2492257258100583,1.6567840195276282,1.5371563163335238,0.2509339608215628,0.34389573625694225,0.01692509142579804,0.8378043624805572,0.22813266024700474,8.5,0.27,2.0
1966-01-31,-0.07129358283259796,-0.13245756166019393,-0.11752070207776985,0.04454495597099467,1.3258063360307333,0.09391472128479096,0.7635886597946473,0.4357025633452398,8.5,0.19,3.0
1967-01-31,-0.20456569908490954,-0.6058269584271665,-0.2702497729134215,0.30676451801953125,-1.0473100786493148,-0.0244075575857647,-1.3910141995482541,0.9246754369829512,2.9,-0.36,3.0
1967-04-30,-0.08426269930698692,0.1802951661530024,-0.0939298725802052,-0.25924999231994045,-1.0512946167871011,-0.0745169464383512,0.6110503361886988,-0.3707153019146843,2.6,0.54,3.0
1967-07-31,-0.2736077565611901,-0.3174101926462859,-0.6945111045037082,0.21561746644868826,0.27226780480430324,0.0326072146163929,0.11278242668174583,0.32253192200757363,2.7,1.37,3.0
1967-10-31,-0.26925919190369113,-0.4314026469979424,-0.30904509306572125,-0.012581631881949771,0.518675145789708,0.02046811329080104,1.180666719396521,-0.0632891365950384,2.7,1.6,2.0
1968-04-30,0.4587231415038786,0.10616193490793197,0.5571698596998921,0.5065179992739198,0.27901554421536495,0.04738583770482846,-0.3970803838158656,0.5175674034573453,5.5,-0.12,3.0
1968-07-31,1.0180700841726449,1.0861889362843826,1.1675814774491244,0.4679941136034226,-0.593918767320587,-0.03749223285980632,0.2583979979800976,0.04069926601204932,5.3,-0.52,3.0
1968-10-31,-0.055391062680606735,-0.053249402053862256,-0.4822032470217375,0.3084139256469931,0.6007825265186139,0.02249586433582628,1.3293180521794667,0.1628147368273691,5.0,-0.33,2.0
1969-10-31,0.5398560330544172,0.3238970386116683,0.4434313417842746,0.5905716725832378,-1.0930449396518374,-0.038534397008859946,-1.1351488859211956,-0.12708137127174562,2.0,-1.9,3.0
1970-10-31,-0.04501303945224579,-0.7401634323726377,0.2779258246249253,0.262632329447304,-1.395053698277947,-0.1012226103270243,-0.20375566803843956,0.1463869112409834,-0.2,1.13,3.0
1971-01-31,0.5832583140131262,1.4735175510728318,0.1661087010890039,0.06863785557428834,2.218271558717206,0.20920294130075992,0.9925150132914041,-0.17646123567825533,2.7,2.1,3.0
1971-04-30,0.14842724615034686,0.2851394039462235,-0.3092458715608739,0.32785997912397113,0.6454424581410577,0.017042555354600298,1.6144542173983571,0.7091530268804918,3.1,1.68,3.0
1972-01-31,0.3143132682021548,0.3065352671838081,-0.27250813090434634,0.5899036989414933,1.412062321666535,0.08515110557689352,1.7732533318385457,0.7472133203218462,3.5,2.45,3.0
